Type of conflict,Latitude,Longitude,Type of vehicle,Speed,Speed Intensity,,,,,,
v-v,25.149437,81.765226,car,70,4.9,,,,,,
v-p,25.149347,81.765213,2 wheeler,50,2.5,,,,v,Vehicles,
v-p,25.149363,81.765255,2 wheeler,55,3.025,,,,p,pedestrian,
v-p,25.149304,81.765188,car,70,4.9,,,,,,
v-p,25.149376,81.765261,car,65,4.225,,,,,,
v-p,25.149379,81.765228,truck,45,2.025,,,,,,
v-p,25.149439,81.765245,2 wheeler,50,2.5,,,,,,
v-p,25.149274,81.765228,car,70,4.9,,,,,,
v-p,25.149255,81.765222,2 wheeler,55,3.025,,,,,,
v-p,25.149407,81.765355,car,65,4.225,,,,,,
v-v,25.149464,81.765225,car,70,4.9,,,,,,
v-p,25.149415,81.765394,2 wheeler,50,2.5,,,,,,
v-p,25.149393,81.765235,2 wheeler,55,3.025,,,,,,
v-p,25.14943,81.76528,2 wheeler,55,3.025,,,,,,
v-p,25.14944,81.765282,2 wheeler,50,2.5,,,,,,
v-p,25.149402,81.765357,truck,50,2.5,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
